audio,transcript
test_sample_3126_noisy.wav,
test_sample_3142_noisy.wav,و
test_sample_3180_noisy.wav,و
test_sample_3165_noisy.wav,و
test_sample_3040_noisy.wav,
test_sample_3083_noisy.wav,و
test_sample_3105_noisy.wav,و
test_sample_3150_noisy.wav,و
test_sample_3060_noisy.wav,و
test_sample_3101_noisy.wav,
test_sample_3169_noisy.wav,و
test_sample_3178_noisy.wav,و
test_sample_3129_noisy.wav,و
test_sample_3054_noisy.wav,
test_sample_3025_noisy.wav,و
test_sample_3053_noisy.wav,
test_sample_3090_noisy.wav,
test_sample_3181_noisy.wav,و
test_sample_3131_noisy.wav,و
test_sample_3167_noisy.wav,
test_sample_3023_noisy.wav,و
test_sample_3097_noisy.wav,و
test_sample_3050_noisy.wav,و
test_sample_3028_noisy.wav,
test_sample_3170_noisy.wav,و
test_sample_3157_noisy.wav,
test_sample_3119_noisy.wav,و
test_sample_3174_noisy.wav,و
test_sample_3032_noisy.wav,
test_sample_3145_noisy.wav,و
test_sample_3081_noisy.wav,و
test_sample_3175_noisy.wav,و
test_sample_3115_noisy.wav,و
test_sample_3062_noisy.wav,و
test_sample_3171_noisy.wav,و
test_sample_3117_noisy.wav,
test_sample_3029_noisy.wav,
test_sample_3093_noisy.wav,و
test_sample_3121_noisy.wav,
test_sample_3052_noisy.wav,و
test_sample_3110_noisy.wav,و
test_sample_3114_noisy.wav,و
test_sample_3137_noisy.wav,
test_sample_3036_noisy.wav,و
test_sample_3078_noisy.wav,و
test_sample_3100_noisy.wav,
test_sample_3118_noisy.wav,و
test_sample_3107_noisy.wav,و
test_sample_3162_noisy.wav,
test_sample_3154_noisy.wav,و
test_sample_3082_noisy.wav,و
test_sample_3038_noisy.wav,و
test_sample_3155_noisy.wav,
test_sample_3139_noisy.wav,
test_sample_3149_noisy.wav,و
test_sample_3144_noisy.wav,و
test_sample_3106_noisy.wav,
test_sample_3044_noisy.wav,و
test_sample_3163_noisy.wav,و
test_sample_3070_noisy.wav,و
test_sample_3102_noisy.wav,و
test_sample_3166_noisy.wav,
test_sample_3148_noisy.wav,و
test_sample_3073_noisy.wav,
test_sample_3164_noisy.wav,و
test_sample_3116_noisy.wav,
test_sample_3086_noisy.wav,و
test_sample_3045_noisy.wav,و
test_sample_3046_noisy.wav,
test_sample_3037_noisy.wav,و
test_sample_3176_noisy.wav,
test_sample_3132_noisy.wav,
test_sample_3094_noisy.wav,و
test_sample_3111_noisy.wav,
test_sample_3047_noisy.wav,و
test_sample_3031_noisy.wav,و
test_sample_3088_noisy.wav,و
test_sample_3027_noisy.wav,
test_sample_3034_noisy.wav,و
test_sample_3026_noisy.wav,و
test_sample_3104_noisy.wav,
test_sample_3079_noisy.wav,و
test_sample_3108_noisy.wav,و
test_sample_3098_noisy.wav,
test_sample_3130_noisy.wav,و
test_sample_3124_noisy.wav,
test_sample_3087_noisy.wav,و
test_sample_3156_noisy.wav,
test_sample_3183_noisy.wav,
test_sample_3068_noisy.wav,
test_sample_3177_noisy.wav,
test_sample_3064_noisy.wav,
test_sample_3095_noisy.wav,
test_sample_3287_noisy.wav,و
test_sample_3240_noisy.wav,
test_sample_3303_noisy.wav,و
test_sample_3188_noisy.wav,و
test_sample_3295_noisy.wav,و
test_sample_3262_noisy.wav,
test_sample_3278_noisy.wav,
test_sample_3285_noisy.wav,و
test_sample_3277_noisy.wav,و
test_sample_3326_noisy.wav,و
test_sample_3302_noisy.wav,
test_sample_3275_noisy.wav,
test_sample_3256_noisy.wav,
test_sample_3203_noisy.wav,
test_sample_3321_noisy.wav,و
test_sample_3215_noisy.wav,
test_sample_3217_noisy.wav,و
test_sample_3299_noisy.wav,
test_sample_3206_noisy.wav,و
test_sample_3231_noisy.wav,و
test_sample_3186_noisy.wav,و
test_sample_3322_noisy.wav,و
test_sample_3189_noisy.wav,و
test_sample_3263_noisy.wav,
test_sample_3271_noisy.wav,و
test_sample_3312_noisy.wav,و
test_sample_3293_noisy.wav,و
test_sample_3301_noisy.wav,و
test_sample_3329_noisy.wav,و
test_sample_3196_noisy.wav,و
test_sample_3232_noisy.wav,
test_sample_3250_noisy.wav,و
test_sample_3280_noisy.wav,و
test_sample_3252_noisy.wav,
test_sample_3309_noisy.wav,
test_sample_3320_noisy.wav,
test_sample_3195_noisy.wav,
test_sample_3251_noisy.wav,و
test_sample_3316_noisy.wav,
test_sample_3337_noisy.wav,و
test_sample_3274_noisy.wav,و
test_sample_3315_noisy.wav,و
test_sample_3305_noisy.wav,و
test_sample_3216_noisy.wav,و
test_sample_3246_noisy.wav,و
test_sample_3279_noisy.wav,
test_sample_3233_noisy.wav,و
test_sample_3207_noisy.wav,و
test_sample_3265_noisy.wav,
test_sample_3318_noisy.wav,و
test_sample_3226_noisy.wav,و
test_sample_3264_noisy.wav,و
test_sample_3187_noisy.wav,
test_sample_3227_noisy.wav,و
test_sample_3283_noisy.wav,
test_sample_3202_noisy.wav,و
test_sample_3333_noisy.wav,و
test_sample_3258_noisy.wav,و
test_sample_3192_noisy.wav,و
test_sample_3236_noisy.wav,و
test_sample_3319_noisy.wav,
test_sample_3297_noisy.wav,
test_sample_3268_noisy.wav,
test_sample_3257_noisy.wav,
test_sample_3199_noisy.wav,و
test_sample_3205_noisy.wav,و
test_sample_3332_noisy.wav,و
test_sample_3259_noisy.wav,و
test_sample_3290_noisy.wav,و
test_sample_3300_noisy.wav,و
test_sample_3330_noisy.wav,و
test_sample_3334_noisy.wav,و
test_sample_3336_noisy.wav,و
test_sample_3210_noisy.wav,و
test_sample_3222_noisy.wav,و
test_sample_3221_noisy.wav,و
test_sample_3238_noisy.wav,
test_sample_3193_noisy.wav,
test_sample_3266_noisy.wav,و
test_sample_3204_noisy.wav,و
test_sample_3323_noisy.wav,و
test_sample_3272_noisy.wav,و
test_sample_3294_noisy.wav,و
test_sample_3310_noisy.wav,و
test_sample_3306_noisy.wav,و
test_sample_3200_noisy.wav,و
test_sample_3331_noisy.wav,
test_sample_3260_noisy.wav,و
test_sample_3255_noisy.wav,
test_sample_3249_noisy.wav,
test_sample_3211_noisy.wav,
test_sample_3230_noisy.wav,و
test_sample_3235_noisy.wav,و
test_sample_3243_noisy.wav,
test_sample_3241_noisy.wav,
test_sample_3288_noisy.wav,
test_sample_3261_noisy.wav,
test_sample_3185_noisy.wav,و
test_sample_3213_noisy.wav,
test_sample_3289_noisy.wav,و
test_sample_3267_noisy.wav,
test_sample_3307_noisy.wav,و
test_sample_3296_noisy.wav,
test_sample_3208_noisy.wav,و
test_sample_3314_noisy.wav,و
test_sample_3214_noisy.wav,و
test_sample_3219_noisy.wav,
test_sample_3198_noisy.wav,و
test_sample_3327_noisy.wav,و
test_sample_3191_noisy.wav,
test_sample_3220_noisy.wav,
test_sample_3190_noisy.wav,
test_sample_3229_noisy.wav,
test_sample_3304_noisy.wav,
test_sample_3291_noisy.wav,
test_sample_3317_noisy.wav,و
test_sample_3313_noisy.wav,و
test_sample_3234_noisy.wav,
test_sample_3335_noisy.wav,و
test_sample_3282_noisy.wav,
test_sample_3253_noisy.wav,و
test_sample_3228_noisy.wav,و
test_sample_3242_noisy.wav,
test_sample_3270_noisy.wav,
test_sample_3284_noisy.wav,
test_sample_3218_noisy.wav,و
test_sample_3197_noisy.wav,و
test_sample_3324_noisy.wav,و
test_sample_3276_noisy.wav,
test_sample_3281_noisy.wav,
test_sample_3237_noisy.wav,
test_sample_3223_noisy.wav,و
test_sample_3325_noisy.wav,
test_sample_3245_noisy.wav,
test_sample_3269_noisy.wav,و
test_sample_3286_noisy.wav,و
test_sample_3292_noisy.wav,و
test_sample_3273_noisy.wav,
test_sample_3247_noisy.wav,و
test_sample_3194_noisy.wav,و
test_sample_3311_noisy.wav,و
test_sample_3212_noisy.wav,و
test_sample_3225_noisy.wav,و
test_sample_3209_noisy.wav,و
test_sample_3248_noisy.wav,و
test_sample_3224_noisy.wav,و
test_sample_3201_noisy.wav,و
test_sample_3254_noisy.wav,
test_sample_3328_noisy.wav,
test_sample_3298_noisy.wav,و
test_sample_3308_noisy.wav,و
test_sample_3239_noisy.wav,و
test_sample_3244_noisy.wav,و
test_sample_3430_noisy.wav,و
test_sample_3402_noisy.wav,
test_sample_3360_noisy.wav,
test_sample_3425_noisy.wav,
test_sample_3362_noisy.wav,
test_sample_3451_noisy.wav,
test_sample_3455_noisy.wav,و
test_sample_3352_noisy.wav,
test_sample_3407_noisy.wav,و
test_sample_3507_noisy.wav,و
test_sample_3373_noisy.wav,و
test_sample_3427_noisy.wav,
test_sample_3454_noisy.wav,و
test_sample_3469_noisy.wav,
test_sample_3498_noisy.wav,و
test_sample_3443_noisy.wav,و
test_sample_3408_noisy.wav,و
test_sample_3391_noisy.wav,
test_sample_3429_noisy.wav,و
test_sample_3399_noisy.wav,و
test_sample_3387_noisy.wav,
test_sample_3366_noisy.wav,
test_sample_3434_noisy.wav,
test_sample_3426_noisy.wav,و
test_sample_3341_noisy.wav,و
test_sample_3478_noisy.wav,
test_sample_3459_noisy.wav,و
test_sample_3367_noisy.wav,
test_sample_3390_noisy.wav,و
test_sample_3386_noisy.wav,و
test_sample_3347_noisy.wav,
test_sample_3449_noisy.wav,و
test_sample_3380_noisy.wav,و
test_sample_3461_noisy.wav,و
test_sample_3401_noisy.wav,
test_sample_3339_noisy.wav,
test_sample_3477_noisy.wav,
test_sample_3406_noisy.wav,
test_sample_3510_noisy.wav,
test_sample_3491_noisy.wav,و
test_sample_3413_noisy.wav,و
test_sample_3494_noisy.wav,ا
test_sample_3472_noisy.wav,و
test_sample_3465_noisy.wav,
test_sample_3423_noisy.wav,و
test_sample_3435_noisy.wav,و
test_sample_3505_noisy.wav,و
test_sample_3502_noisy.wav,و
test_sample_3438_noisy.wav,
test_sample_3372_noisy.wav,
test_sample_3371_noisy.wav,
test_sample_3385_noisy.wav,
test_sample_3471_noisy.wav,و
test_sample_3370_noisy.wav,و
test_sample_3342_noisy.wav,و
test_sample_3392_noisy.wav,
test_sample_3513_noisy.wav,
test_sample_3488_noisy.wav,و
test_sample_3414_noisy.wav,و
test_sample_3363_noisy.wav,
test_sample_3368_noisy.wav,
test_sample_3468_noisy.wav,
test_sample_3420_noisy.wav,و
test_sample_3388_noisy.wav,
test_sample_3453_noisy.wav,و
test_sample_3412_noisy.wav,
test_sample_3346_noisy.wav,و
test_sample_3473_noisy.wav,
test_sample_3497_noisy.wav,
test_sample_3397_noisy.wav,
test_sample_3509_noisy.wav,
test_sample_3376_noisy.wav,و
test_sample_3422_noisy.wav,و
test_sample_3484_noisy.wav,و
test_sample_3485_noisy.wav,و
test_sample_3356_noisy.wav,
test_sample_3345_noisy.wav,و
test_sample_3375_noisy.wav,و
test_sample_3364_noisy.wav,
test_sample_3403_noisy.wav,و
test_sample_3500_noisy.wav,و
test_sample_3460_noisy.wav,
test_sample_3400_noisy.wav,
test_sample_3476_noisy.wav,و
test_sample_3374_noisy.wav,و
test_sample_3394_noisy.wav,و
test_sample_3381_noisy.wav,و
test_sample_3496_noisy.wav,
test_sample_3458_noisy.wav,و
test_sample_3338_noisy.wav,
test_sample_3379_noisy.wav,و
test_sample_3445_noisy.wav,
test_sample_3377_noisy.wav,و
test_sample_3470_noisy.wav,و
test_sample_3466_noisy.wav,و
test_sample_3446_noisy.wav,و
test_sample_3504_noisy.wav,و
test_sample_3369_noisy.wav,
test_sample_3439_noisy.wav,و
test_sample_3456_noisy.wav,و
test_sample_3395_noisy.wav,و
test_sample_3499_noisy.wav,
test_sample_3432_noisy.wav,و
test_sample_3479_noisy.wav,و
test_sample_3348_noisy.wav,و
test_sample_3495_noisy.wav,
test_sample_3409_noisy.wav,و
test_sample_3441_noisy.wav,و
test_sample_3487_noisy.wav,
test_sample_3442_noisy.wav,و
test_sample_3482_noisy.wav,و
test_sample_3365_noisy.wav,و
test_sample_3440_noisy.wav,و
test_sample_3417_noisy.wav,و
test_sample_3467_noisy.wav,و
test_sample_3444_noisy.wav,و
test_sample_3436_noisy.wav,
test_sample_3506_noisy.wav,
test_sample_3483_noisy.wav,
test_sample_3490_noisy.wav,
test_sample_3448_noisy.wav,
test_sample_3382_noisy.wav,
test_sample_3508_noisy.wav,
test_sample_3354_noisy.wav,
test_sample_3493_noisy.wav,
test_sample_3474_noisy.wav,
test_sample_3378_noisy.wav,و
test_sample_3447_noisy.wav,و
test_sample_3450_noisy.wav,
test_sample_3475_noisy.wav,و
test_sample_3492_noisy.wav,و
test_sample_3428_noisy.wav,و
test_sample_3350_noisy.wav,
test_sample_3462_noisy.wav,
test_sample_3357_noisy.wav,
test_sample_3424_noisy.wav,و
test_sample_3351_noisy.wav,و
test_sample_3437_noisy.wav,و
test_sample_3340_noisy.wav,
test_sample_3514_noisy.wav,و
test_sample_3463_noisy.wav,و
test_sample_3512_noisy.wav,
test_sample_3411_noisy.wav,
test_sample_3503_noisy.wav,و
test_sample_3355_noisy.wav,و
test_sample_3486_noisy.wav,و
test_sample_3410_noisy.wav,
test_sample_3404_noisy.wav,
test_sample_3361_noisy.wav,و
test_sample_3398_noisy.wav,و
test_sample_3452_noisy.wav,و
test_sample_3433_noisy.wav,
test_sample_3501_noisy.wav,و
test_sample_3359_noisy.wav,
test_sample_3349_noisy.wav,
test_sample_3396_noisy.wav,
test_sample_3415_noisy.wav,و
test_sample_3353_noisy.wav,
test_sample_3431_noisy.wav,و
test_sample_3405_noisy.wav,و
test_sample_3464_noisy.wav,و
test_sample_3419_noisy.wav,و
test_sample_3481_noisy.wav,و
test_sample_3511_noisy.wav,
test_sample_3383_noisy.wav,
test_sample_3489_noisy.wav,و
test_sample_3344_noisy.wav,و
test_sample_3416_noisy.wav,
test_sample_3457_noisy.wav,
test_sample_3389_noisy.wav,
test_sample_3343_noisy.wav,و
test_sample_3421_noisy.wav,
test_sample_3393_noisy.wav,و
test_sample_3358_noisy.wav,
test_sample_3384_noisy.wav,و
test_sample_3480_noisy.wav,و
test_sample_3418_noisy.wav,و
test_sample_3662_noisy.wav,
test_sample_3544_noisy.wav,
test_sample_3653_noisy.wav,و
test_sample_3569_noisy.wav,و
test_sample_3532_noisy.wav,
test_sample_3663_noisy.wav,
test_sample_3633_noisy.wav,و
test_sample_3549_noisy.wav,
test_sample_3548_noisy.wav,و
test_sample_3615_noisy.wav,
test_sample_3614_noisy.wav,و
test_sample_3602_noisy.wav,
test_sample_3581_noisy.wav,و
test_sample_3561_noisy.wav,و
test_sample_3551_noisy.wav,و
test_sample_3635_noisy.wav,
test_sample_3568_noisy.wav,
test_sample_3588_noisy.wav,
test_sample_3617_noisy.wav,و
test_sample_3564_noisy.wav,و
test_sample_3593_noisy.wav,و
test_sample_3598_noisy.wav,و
test_sample_3610_noisy.wav,و
test_sample_3632_noisy.wav,
test_sample_3580_noisy.wav,و
test_sample_3567_noisy.wav,
test_sample_3600_noisy.wav,
test_sample_3607_noisy.wav,
test_sample_3630_noisy.wav,
test_sample_3619_noisy.wav,
test_sample_3527_noisy.wav,و
test_sample_3644_noisy.wav,
test_sample_3622_noisy.wav,و
test_sample_3594_noisy.wav,و
test_sample_3611_noisy.wav,
test_sample_3629_noisy.wav,
test_sample_3657_noisy.wav,و
test_sample_3650_noisy.wav,و
test_sample_3577_noisy.wav,و
test_sample_3524_noisy.wav,و
test_sample_3526_noisy.wav,
test_sample_3616_noisy.wav,و
test_sample_3625_noisy.wav,
test_sample_3620_noisy.wav,و
test_sample_3522_noisy.wav,
test_sample_3541_noisy.wav,و
test_sample_3576_noisy.wav,و
test_sample_3535_noisy.wav,و
test_sample_3651_noisy.wav,و
test_sample_3608_noisy.wav,و
test_sample_3546_noisy.wav,و
test_sample_3590_noisy.wav,
test_sample_3515_noisy.wav,و
test_sample_3555_noisy.wav,و
test_sample_3643_noisy.wav,
test_sample_3520_noisy.wav,
test_sample_3599_noisy.wav,و
test_sample_3618_noisy.wav,و
test_sample_3543_noisy.wav,و
test_sample_3552_noisy.wav,و
test_sample_3579_noisy.wav,و
test_sample_3533_noisy.wav,و
test_sample_3626_noisy.wav,و
test_sample_3652_noisy.wav,
test_sample_3624_noisy.wav,
test_sample_3666_noisy.wav,و
test_sample_3645_noisy.wav,و
test_sample_3517_noisy.wav,و
test_sample_3545_noisy.wav,و
test_sample_3562_noisy.wav,و
test_sample_3534_noisy.wav,و
test_sample_3518_noisy.wav,و
test_sample_3664_noisy.wav,و
test_sample_3583_noisy.wav,و
test_sample_3621_noisy.wav,و
test_sample_3582_noisy.wav,و
test_sample_3558_noisy.wav,و
test_sample_3550_noisy.wav,و
test_sample_3587_noisy.wav,و
test_sample_3528_noisy.wav,و
test_sample_3591_noisy.wav,
test_sample_3584_noisy.wav,و
test_sample_3656_noisy.wav,و
test_sample_3623_noisy.wav,و
test_sample_3667_noisy.wav,و
test_sample_3628_noisy.wav,
test_sample_3516_noisy.wav,و
test_sample_3553_noisy.wav,و
test_sample_3559_noisy.wav,و
test_sample_3595_noisy.wav,و
test_sample_3542_noisy.wav,و
test_sample_3636_noisy.wav,و
test_sample_3639_noisy.wav,
test_sample_3565_noisy.wav,
test_sample_3649_noisy.wav,و
test_sample_3529_noisy.wav,و
test_sample_3531_noisy.wav,
test_sample_3586_noisy.wav,
test_sample_3540_noisy.wav,و
test_sample_3585_noisy.wav,و
test_sample_3609_noisy.wav,و
test_sample_3647_noisy.wav,و
test_sample_3573_noisy.wav,و
test_sample_3601_noisy.wav,
test_sample_3631_noisy.wav,و
test_sample_3523_noisy.wav,و
test_sample_3554_noisy.wav,
test_sample_3570_noisy.wav,و
test_sample_3521_noisy.wav,و
test_sample_3572_noisy.wav,
test_sample_3634_noisy.wav,
test_sample_3603_noisy.wav,و
test_sample_3605_noisy.wav,
test_sample_3557_noisy.wav,
test_sample_3578_noisy.wav,و
test_sample_3659_noisy.wav,
test_sample_3604_noisy.wav,
test_sample_3606_noisy.wav,
test_sample_3648_noisy.wav,
test_sample_3641_noisy.wav,و
test_sample_3566_noisy.wav,
test_sample_3525_noisy.wav,و
test_sample_3613_noisy.wav,و
test_sample_3574_noisy.wav,و
test_sample_3661_noisy.wav,و
test_sample_3538_noisy.wav,و
test_sample_3655_noisy.wav,و
test_sample_3642_noisy.wav,
test_sample_3563_noisy.wav,و
test_sample_3660_noisy.wav,
test_sample_3575_noisy.wav,و
test_sample_3596_noisy.wav,
test_sample_3597_noisy.wav,و
test_sample_3536_noisy.wav,و
test_sample_3571_noisy.wav,
test_sample_3637_noisy.wav,
test_sample_3560_noisy.wav,و
test_sample_3658_noisy.wav,
test_sample_3519_noisy.wav,و
test_sample_3539_noisy.wav,و
test_sample_3646_noisy.wav,
test_sample_3638_noisy.wav,و
test_sample_3589_noisy.wav,و
test_sample_3556_noisy.wav,و
test_sample_3654_noisy.wav,
test_sample_3612_noisy.wav,و
test_sample_3537_noisy.wav,و
test_sample_3547_noisy.wav,و
test_sample_3627_noisy.wav,
test_sample_3640_noisy.wav,و
test_sample_3592_noisy.wav,و
test_sample_3530_noisy.wav,و
test_sample_3665_noisy.wav,
test_sample_3802_noisy.wav,و
test_sample_3814_noisy.wav,
test_sample_3815_noisy.wav,
test_sample_3793_noisy.wav,و
test_sample_3781_noisy.wav,و
test_sample_3750_noisy.wav,و
test_sample_3739_noisy.wav,
test_sample_3754_noisy.wav,و
test_sample_3686_noisy.wav,و
test_sample_3809_noisy.wav,
test_sample_3782_noisy.wav,و
test_sample_3806_noisy.wav,
test_sample_3756_noisy.wav,و
test_sample_3813_noisy.wav,
test_sample_3719_noisy.wav,و
test_sample_3761_noisy.wav,و
test_sample_3816_noisy.wav,
test_sample_3753_noisy.wav,و
test_sample_3775_noisy.wav,و
test_sample_3738_noisy.wav,و
test_sample_3791_noisy.wav,و
test_sample_3696_noisy.wav,و
test_sample_3797_noisy.wav,و
test_sample_3766_noisy.wav,و
test_sample_3709_noisy.wav,و
test_sample_3740_noisy.wav,و
test_sample_3680_noisy.wav,و
test_sample_3716_noisy.wav,
test_sample_3760_noisy.wav,و
test_sample_3706_noisy.wav,
test_sample_3704_noisy.wav,
test_sample_3777_noisy.wav,
test_sample_3681_noisy.wav,
test_sample_3692_noisy.wav,و
test_sample_3671_noisy.wav,
test_sample_3742_noisy.wav,و
test_sample_3710_noisy.wav,و
test_sample_3730_noisy.wav,و
test_sample_3689_noisy.wav,و
test_sample_3720_noisy.wav,و
test_sample_3687_noisy.wav,و
test_sample_3801_noisy.wav,و
test_sample_3768_noisy.wav,
test_sample_3817_noisy.wav,و
test_sample_3712_noisy.wav,و
test_sample_3798_noisy.wav,و
test_sample_3677_noisy.wav,و
test_sample_3697_noisy.wav,
test_sample_3784_noisy.wav,
test_sample_3732_noisy.wav,و
test_sample_3699_noisy.wav,و
test_sample_3759_noisy.wav,و
test_sample_3780_noisy.wav,و
test_sample_3678_noisy.wav,و
test_sample_3736_noisy.wav,و
test_sample_3735_noisy.wav,و
test_sample_3724_noisy.wav,و
test_sample_3701_noisy.wav,
test_sample_3682_noisy.wav,
test_sample_3773_noisy.wav,و
test_sample_3788_noisy.wav,و
test_sample_3743_noisy.wav,و
test_sample_3749_noisy.wav,و
test_sample_3670_noisy.wav,
test_sample_3672_noisy.wav,و
test_sample_3755_noisy.wav,و
test_sample_3714_noisy.wav,و
test_sample_3804_noisy.wav,و
test_sample_3683_noisy.wav,و
test_sample_3812_noisy.wav,و
test_sample_3807_noisy.wav,
test_sample_3705_noisy.wav,و
test_sample_3737_noisy.wav,و
test_sample_3762_noisy.wav,
test_sample_3693_noisy.wav,
test_sample_3711_noisy.wav,
test_sample_3685_noisy.wav,و
test_sample_3698_noisy.wav,
test_sample_3700_noisy.wav,و
test_sample_3790_noisy.wav,و
test_sample_3745_noisy.wav,و
test_sample_3800_noisy.wav,و
test_sample_3747_noisy.wav,و
test_sample_3776_noisy.wav,
test_sample_3767_noisy.wav,و
test_sample_3772_noisy.wav,
test_sample_3694_noisy.wav,
test_sample_3752_noisy.wav,و
test_sample_3820_noisy.wav,و
test_sample_3746_noisy.wav,و
test_sample_3708_noisy.wav,و
test_sample_3715_noisy.wav,و
test_sample_3728_noisy.wav,
test_sample_3795_noisy.wav,
test_sample_3748_noisy.wav,و
test_sample_3717_noisy.wav,و
test_sample_3796_noisy.wav,و
test_sample_3808_noisy.wav,و
test_sample_3799_noisy.wav,
test_sample_3690_noisy.wav,و
test_sample_3695_noisy.wav,
test_sample_3727_noisy.wav,
test_sample_3810_noisy.wav,و
test_sample_3803_noisy.wav,و
test_sample_3676_noisy.wav,و
test_sample_3758_noisy.wav,
test_sample_3787_noisy.wav,
test_sample_3722_noisy.wav,و
test_sample_3674_noisy.wav,
test_sample_3763_noisy.wav,
test_sample_3713_noisy.wav,و
test_sample_3765_noisy.wav,و
test_sample_3774_noisy.wav,
test_sample_3783_noisy.wav,و
test_sample_3764_noisy.wav,و
test_sample_3675_noisy.wav,و
test_sample_3703_noisy.wav,و
test_sample_3785_noisy.wav,
test_sample_3684_noisy.wav,و
test_sample_3725_noisy.wav,و
test_sample_3707_noisy.wav,
test_sample_3779_noisy.wav,
test_sample_3805_noisy.wav,و
test_sample_3819_noisy.wav,و
test_sample_3702_noisy.wav,و
